Algorithm ,Input Size ,Threads ,Jalapeno runtime ,Home runtime   ,Radish runtime
bbp       ,      2500 ,      2 ,     0.0172493   ,   0.0129975   ,   0.00690655
bbp       ,      2500 ,      4 ,     0.0118025   ,   0.0113909   ,   0.00479517
bbp       ,      2500 ,      8 ,     0.01087     ,   0.095111    ,   0.00627546
bbp       ,      2500 ,     16 ,     0.0272565   ,   0.388116    ,   0.0539933
bbp       ,      2500 ,     32 ,                 ,  12.8883      ,    
bbs       ,      2500 ,      1 ,     0.0458337   ,   0.0242254   ,   0.0165815
msp       ,      2500 ,      2 ,     0.000771051 ,   0.00136001  ,   0.000344823
msp       ,      2500 ,      4 ,     0.000745344 ,   0.00123862  ,   0.000327384
msp       ,      2500 ,      8 ,     0.000713117 ,   0.00109405  ,   0.000454566
msp       ,      2500 ,     16 ,     0.00243092  ,   0.00144139  ,   0.000519465
msp       ,      2500 ,     32 ,                 ,   0.0679261   ,    
mss       ,      2500 ,      1 ,     0.000720728 ,   0.00110123  ,   0.000379629
qsp       ,      2500 ,      2 ,     0.000493939 ,   0.000860252 ,   0.000267943
qsp       ,      2500 ,      4 ,     0.000500184 ,   0.0124749   ,   0.000242364
qsp       ,      2500 ,      8 ,     0.000910728 ,   0.00104242  ,   0.000323215
qsp       ,      2500 ,     16 ,     0.00271971  ,   0.00117295  ,   0.000490456
qsp       ,      2500 ,     32 ,                 ,   0.0695447   ,    
qss       ,      2500 ,      1 ,     0.000471178 ,   0.000494449 ,   0.000225936
reference ,      2500 ,      1 ,     0.000508425 ,   0.000739317 ,   0.000291256
bbp       ,      5000 ,      2 ,     0.0568272   ,   0.0373644   ,   0.0236448
bbp       ,      5000 ,      4 ,     0.0381418   ,   0.110593    ,   0.0155191
bbp       ,      5000 ,      8 ,     0.034411    ,   0.379394    ,   0.0147518
bbp       ,      5000 ,     16 ,     0.0303944   ,   0.893084    ,   0.11326
bbp       ,      5000 ,     32 ,                 ,  33.887       ,    
bbs       ,      5000 ,      1 ,     0.183088    ,   0.199384    ,   0.0721807
msp       ,      5000 ,      2 ,     0.0012874   ,   0.0708986   ,   0.000545762
msp       ,      5000 ,      4 ,     0.00113535  ,   0.00190568  ,   0.000541375
msp       ,      5000 ,      8 ,     0.00115566  ,   0.00176582  ,   0.00126659
msp       ,      5000 ,     16 ,     0.00276221  ,   0.0644436   ,   0.000657665
msp       ,      5000 ,     32 ,                 ,   0.187842    ,    
mss       ,      5000 ,      1 ,     0.00152939  ,   0.00224265  ,   0.000778883
qsp       ,      5000 ,      2 ,     0.000821843 ,   0.00169298  ,   0.00040294
qsp       ,      5000 ,      4 ,     0.000826988 ,   0.00152425  ,   0.000437078
qsp       ,      5000 ,      8 ,     0.00111768  ,   0.00130251  ,   0.00192918
qsp       ,      5000 ,     16 ,     0.00319025  ,   0.0511099   ,   0.000597923
qsp       ,      5000 ,     32 ,                 ,   0.0882812   ,    
qss       ,      5000 ,      1 ,     0.00102652  ,   0.00222855  ,   0.000541628
reference ,      5000 ,      1 ,     0.00110389  ,   0.00122577  ,   0.000656591
bbp       ,      7500 ,      2 ,     0.126592    ,   0.177057    ,   0.0517245
bbp       ,      7500 ,      4 ,     0.0972334   ,   0.466433    ,   0.0309969
bbp       ,      7500 ,      8 ,     0.0705629   ,   0.676358    ,   0.0317523
bbp       ,      7500 ,     16 ,     0.0586409   ,   1.18905     ,   0.179957
bbp       ,      7500 ,     32 ,                 ,  37.9891      ,    
bbs       ,      7500 ,      1 ,     0.411864    ,   0.3359      ,   0.171432
msp       ,      7500 ,      2 ,     0.00179924  ,   0.0777463   ,   0.000810599
msp       ,      7500 ,      4 ,     0.00158287  ,   0.00291536  ,   0.000782746
msp       ,      7500 ,      8 ,     0.00166338  ,   0.00251588  ,   0.000969289
msp       ,      7500 ,     16 ,     0.00526227  ,   0.059828    ,   0.000856772
msp       ,      7500 ,     32 ,                 ,   0.388268    ,    
mss       ,      7500 ,      1 ,     0.00235917  ,   0.00341546  ,   0.00117605
qsp       ,      7500 ,      2 ,     0.00142747  ,   0.00165864  ,   0.000717869
qsp       ,      7500 ,      4 ,     0.00125235  ,   0.00181901  ,   0.000679135
qsp       ,      7500 ,      8 ,     0.00182383  ,   0.00222973  ,   0.000821601
qsp       ,      7500 ,     16 ,     0.0033175   ,   0.0575526   ,   0.000848925
qsp       ,      7500 ,     32 ,                 ,   0.0895437   ,    
qss       ,      7500 ,      1 ,     0.00163533  ,   0.00167584  ,   0.000812356
reference ,      7500 ,      1 ,     0.00175775  ,   0.00248383  ,   0.00102979
bbp       ,     10000 ,      2 ,     0.223393    ,   0.454352    ,   0.0920558
bbp       ,     10000 ,      4 ,     0.132308    ,   0.774897    ,   0.0517178
bbp       ,     10000 ,      8 ,     0.0993411   ,   0.991285    ,   0.0495151
